candidate_id,skills,qualification,experience_level,job_role,experience_enc
1,"python, sql, tensorflow, machine learning, communication",master's in data science,senior,data scientist,0
2,"html, css, javascript, react, teamwork",bachelor's in computer science,mid,frontend developer,0
3,"java, spring, sql, rest apis, problem solving",bachelor's in software engineering,senior,backend developer,0
4,"figma, adobe xd, ui/ux design, creativity",bachelor's in design,entry,designer,0
5,"python, django, javascript, react, agile",master's in computer science,mid,full stack python developer,0
6,"financial modeling, excel, communication, risk analysis",master's in finance,senior,finance,0
7,"c++, unreal engine, game design, teamwork",bachelor's in game development,mid,game developer,0
8,"kubernetes, docker, aws, ci/cd, linux",bachelor's in computer science,senior,devops engineer,0
9,"java, spring boot, hibernate, microservices",bachelor's in software engineering,mid,full stack java developer,0
10,"solidity, ethereum, javascript, blockchain",bachelor's in computer science,entry,blockchain developer,0
11,"marketing strategy, seo, content creation, analytics",bachelor's in marketing,mid,marketing,0
12,"recruitment, hr policies, communication, leadership",master's in human resources,senior,hr,0
13,"c#, .net, sql, asp.net",bachelor's in computer science,mid,c# developer,0
14,"php, laravel, mysql, javascript",bachelor's in information technology,entry,php developer,0
15,"swift, ios development, objective-c, ui/ux",bachelor's in computer science,mid,mobile developer,0
16,"network security, penetration testing, firewalls",bachelor's in cybersecurity,senior,cybersecurity engineer,0
17,"agile, scrum, project management, leadership",master's in business administration,senior,software project manager,0
18,"c++, unity, game design, 3d modeling",bachelor's in game development,entry,video game designer,0
19,"python, pandas, sql, data visualization",master's in data science,mid,data analyst,0
20,"kubernetes, helm, aws, terraform",bachelor's in computer science,senior,kubernetes operations engineer,0
21,"html, css, javascript, node.js, mongodb",bachelor's in computer science,mid,web developer,0
22,"python, machine learning, deep learning, nlp",phd in artificial intelligence,senior,aiml,0
23,"java, android development, kotlin, rest apis",bachelor's in software engineering,mid,mobile developer,0
24,"python, flask, javascript, postgresql",bachelor's in computer science,entry,full stack python developer,0
25,"java, spring, angular, microservices",master's in software engineering,senior,full stack java developer,0
26,"adobe illustrator, photoshop, ui/ux, prototyping",bachelor's in graphic design,mid,designer,0
27,"sql, tableau, data analysis, statistics",bachelor's in statistics,entry,data analyst,0
28,"c#, unity, game physics, 3d modeling",bachelor's in game development,mid,game developer,0
29,"aws, jenkins, docker, ansible",bachelor's in computer science,senior,devops engineer,0
30,"php, wordpress, mysql, javascript",bachelor's in information technology,entry,php developer,0
31,"python, tensorflow, keras, data science",master's in data science,mid,data scientist,0
32,"blockchain, smart contracts, solidity, web3",bachelor's in computer science,senior,blockchain developer,0
33,"react, javascript, html, css, redux",bachelor's in computer science,mid,frontend developer,0
34,"java, hibernate, sql, rest apis",bachelor's in software engineering,senior,backend developer,0
35,"digital marketing, google analytics, seo, ppc",bachelor's in marketing,mid,marketing,0
36,"hr management, recruitment, employee relations",master's in human resources,senior,hr,0
37,"c#, .net core, azure, sql server",bachelor's in computer science,mid,c# developer,0
38,"swift, ios, xcode, core data",bachelor's in computer science,entry,mobile developer,0
39,"network security, ethical hacking, siem",master's in cybersecurity,senior,cybersecurity engineer,0
40,"agile, jira, stakeholder management",master's in business administration,mid,software project manager,0
41,"python, r, sql, machine learning",master's in data science,senior,data scientist,0
42,"figma, sketch, ui/ux, wireframing",bachelor's in design,entry,designer,0
43,"kubernetes, docker, gcp, ci/cd",bachelor's in computer science,mid,kubernetes operations engineer,0
44,"javascript, node.js, express, mongodb",bachelor's in information technology,entry,web developer,0
45,"python, django, postgresql, javascript",bachelor's in computer science,mid,full stack python developer,0
46,"java, spring boot, angular, aws",master's in software engineering,senior,full stack java developer,0
47,"c++, unreal engine, vr development",bachelor's in game development,mid,game developer,0
48,"aws, terraform, jenkins, linux",bachelor's in computer science,senior,devops engineer,0
49,"php, symfony, mysql, javascript",bachelor's in information technology,entry,php developer,0
50,"solidity, web3, ethereum, javascript",bachelor's in computer science,mid,blockchain developer,0
51,"react, typescript, html, css",bachelor's in computer science,entry,frontend developer,0
